City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
321,Mattru,SL,73.24,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
322,Mount Gambier,AU,73.8,clear sky,-37.8333,140.7667,The Commodore
323,Boyolangu,ID,75.31,overcast clouds,-8.1181,111.8935,Yos ega cv
325,Siguiri,GN,71.01,clear sky,11.6667,-9.5,
327,Port Macquarie,AU,74.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
330,San-Pedro,CI,77.9,clear sky,4.7485,-6.6363,Hotel Maria
331,Porto Seguro,BR,77.79,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
332,Jaciara,BR,70.93,overcast clouds,-15.9653,-54.9683,Taba Hotel
337,Dingle,PH,79.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
343,Bull Savanna,JM,73.83,scattered clouds,17.8868,-77.5902,Big Red's
347,Gurupa,BR,73.27,overcast clouds,-1.405,-51.64,Hotel Vitória
348,Laguna,US,75.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
351,Altamira,BR,72.79,overcast clouds,-3.2033,-52.2064,Requinte Hotel
356,Panalingaan,PH,83.44,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
368,Muisne,EC,76.12,scattered clouds,0.6,-80.0333,Quinta Samay
373,Voh,NC,84.87,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
378,Kiama,AU,75.0,moderate rain,-34.6833,150.8667,The Sebel Kiama Harbourside
379,Farafangana,MG,75.24,light rain,-22.8167,47.8333,Miarina
381,Almeirim,BR,75.6,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
393,Riohacha,CO,86.11,clear sky,11.5444,-72.9072,Hotel Taroa
395,Kedougou,SN,74.62,broken clouds,12.5579,-12.1743,Relais de Kédougou
396,San Jose,US,75.88,clear sky,37.3394,-121.895,The Westin San Jose
400,Kanniyakumari,IN,77.92,moderate rain,8.0833,77.5667,Sparsa
402,Birao,CF,70.52,broken clouds,10.2849,22.7882,
403,Makakilo City,US,79.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
408,Maraba,BR,72.66,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
409,Cidreira,BR,74.46,clear sky,-30.1811,-50.2056,Hotel Castelo
410,Caravelas,BR,75.65,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
413,Chincha Alta,PE,71.76,overcast clouds,-13.4099,-76.1323,Buena Vista Casa Hotel
416,Ballina,AU,70.79,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
422,Carauari,BR,73.8,overcast clouds,-4.8828,-66.8958,Hotel Fellip
428,San Lorenzo,PY,82.96,scattered clouds,-25.3333,-57.5333,Hotel del Sur
430,Sao Joao Da Barra,BR,73.15,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
433,Sabang,ID,81.46,light rain,5.8933,95.3214,Hotel Citra
434,Acarau,BR,78.26,broken clouds,-2.8856,-40.12,castelo pizzaria
439,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
440,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
453,Ambulu,ID,77.54,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
455,Samarai,PG,83.3,broken clouds,-10.6167,150.6667,Nuli Sapi
459,Pailon,BO,81.5,overcast clouds,-17.65,-62.75,Alojamiento pailon
460,Rio Verde De Mato Grosso,BR,73.67,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
462,Kisangani,CD,72.21,overcast clouds,0.5167,25.2,Grand Ramela Hotel
463,Ibotirama,BR,73.06,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
469,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
472,Magdalena,PH,82.18,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
