City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
223,Ahipara,-35.1667,173.1667,80.69,77,95,20.54,overcast clouds,NZ,2022-02-12 00:57:24
224,Zyryanka,65.75,150.85,-27.02,93,28,5.68,scattered clouds,RU,2022-02-12 00:57:24
225,Letlhakane,-21.4167,25.5833,71.08,45,1,11.36,clear sky,BW,2022-02-12 00:57:25
226,Pacific Grove,36.6177,-121.9166,78.76,54,0,7.0,clear sky,US,2022-02-12 00:53:00
227,Takoradi,4.8845,-1.7554,79.11,87,41,7.61,scattered clouds,GH,2022-02-12 00:57:25
228,Fortuna,40.5982,-124.1573,70.2,70,0,5.75,clear sky,US,2022-02-12 00:57:03
229,Iqaluit,63.7506,-68.5145,-0.31,70,100,4.61,light snow,CA,2022-02-12 00:57:25
230,Naco,31.3347,-109.9483,63.63,19,0,9.06,clear sky,MX,2022-02-12 00:57:26
231,Guilin,25.2819,110.2864,44.71,87,100,5.55,overcast clouds,CN,2022-02-12 00:58:26
232,Longyearbyen,78.2186,15.6401,21.04,86,75,3.44,light snow,SJ,2022-02-12 00:58:26
233,Celestun,20.8667,-90.4,73.58,78,100,13.85,overcast clouds,MX,2022-02-12 00:58:26
234,Mbuji-Mayi,-6.15,23.6,69.91,87,100,3.8,overcast clouds,CD,2022-02-12 00:58:27
235,Aklavik,68.2191,-135.0107,-17.57,76,20,6.91,few clouds,CA,2022-02-12 00:58:27
236,Tutoia,-2.7619,-42.2744,82.38,84,100,10.4,overcast clouds,BR,2022-02-12 00:58:27
237,Los Llanos De Aridane,28.6585,-17.9182,63.12,40,40,7.0,scattered clouds,ES,2022-02-12 00:57:52
238,Tamuin,21.9833,-98.75,70.14,68,25,8.59,scattered clouds,MX,2022-02-12 00:58:28
239,Halesowen,52.4486,-2.0494,40.21,88,100,13.98,overcast clouds,GB,2022-02-12 00:58:28
240,San Cristobal,7.7669,-72.225,71.78,88,56,1.03,broken clouds,VE,2022-02-12 00:58:28
241,Tire,38.0888,27.7351,35.6,71,0,2.64,clear sky,TR,2022-02-12 00:58:29
242,Piranhas,-16.4269,-51.8222,70.32,95,30,0.56,light rain,BR,2022-02-12 00:58:29
243,Norman Wells,65.282,-126.8329,-7.56,71,20,0.0,few clouds,CA,2022-02-12 00:58:29
244,Paamiut,61.994,-49.6678,31.66,76,100,24.43,overcast clouds,GL,2022-02-12 00:58:29
