City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
554,Bathsheba,13.2167,-59.5167,81.21,69,40,25.32,BB,2022-02-09 17:53:17
555,Verkhnevilyuysk,63.4453,120.3167,-36.47,100,95,1.01,RU,2022-02-09 17:53:17
556,Sobolevo,54.4299,31.8996,30.34,93,67,13.15,RU,2022-02-09 17:53:17
557,Kurilsk,45.2333,147.8833,22.41,79,99,13.85,RU,2022-02-09 17:53:18
558,Natal,-5.795,-35.2094,90.25,62,40,16.11,BR,2022-02-09 17:53:18
559,Shihezi,44.3,86.0333,7.41,94,87,4.92,CN,2022-02-09 17:53:18
560,Angatuba,-23.4897,-48.4128,81.54,50,8,6.85,BR,2022-02-09 17:53:19
561,La Ronge,55.1001,-105.2842,5.25,78,100,9.22,CA,2022-02-09 17:53:19
562,Zhuhai,22.2769,113.5678,63.7,82,40,13.8,CN,2022-02-09 17:53:19
563,Mildura,-34.2,142.15,66.16,52,4,9.22,AU,2022-02-09 17:52:48
564,Luanda,-8.8368,13.2343,78.8,78,75,9.22,AO,2022-02-09 17:53:20
565,Ulundi,-28.3352,31.4162,69.19,84,0,2.39,ZA,2022-02-09 17:53:20
566,Palu,-0.8917,119.8707,75.6,95,100,2.06,ID,2022-02-09 17:53:21
567,Creel,27.75,-107.6333,51.64,22,18,6.26,MX,2022-02-09 17:53:21
